Commodity,Number of trades,Traded items,Value of trades,Lst,as per ESI; complete New Eden; last update: 24.11.2023,,,,,https://www.adam4eve.eu/tradeVol_type.php
Exigent Light Drone Navigation Mutaplasmid,15,46,146.468.764,,,,,,,
Gila Versus Blueforce SKIN,4,4,146.445.471,,,,,,,
Intaki Cycle of Ida Bracelet,2,4,146.437.778,,,,,,,
Superconductor Rails Blueprint,17,41,146.412.442,,,,,,,
Typhoon Fleet Issue Hunter's Quiver SKIN,1,1,146.328.000,,,,,,,
Prototype Compact Thermal Armor Hardener I,231,1.285,146.244.259,,,,,,,
Large Drone Scope Chip II,3,5,145.991.310,,,,,,,
Capital Tungsten Carbide Armor Plate Blueprint,7,11,145.833.333,,,,,,,
Uncommon Moon Mining Crystal Type B I Blueprint,16,16,145.791.000,,,,,,,
Data Analyzer I,1.322,2.389,145.707.101,,,,,,,
Tachyon Beam Laser I Blueprint,8,10,145.621.500,,,,,,,
Zainou 'Beancounter' Science SC-803,5,6,145.557.820,,,,,,,
Electronic Attack Ships,25,30,145.447.420,,,,,,,
Pithum B-Type Thermal Shield Amplifier,16,22,145.249.895,,,,,,,
Advanced Small Ship Assembly Array,1,1,145.000.000,,,,,,,
Dominix Ruby Sungrazer SKIN,1,1,145.000.000,,,,,,,
Capital Energy Collision Accelerator I Blueprint,2,3,145.000.000,,,,,,,
Vespa I,514,6.393,144.969.285,,,,,,,
Curator I Blueprint,6,9,144.963.084,,,,,,,
Medium Sentry Damage Augmentor II,8,12,144.857.814,,,,,,,
Standup Scarab I,1,7,144.848.860,,,,,,,
Intaki Spiced Tea,2,2,144.690.000,,,,,,,
Plunderer' Gravimetric ECM,9,11,144.517.221,,,,,,,
Mid-grade Talisman Gamma,12,13,144.507.399,,,,,,,
Ammatar Navy Multispectrum Coating,1,1,144.500.000,,,,,,,
Thrasher Nefantar SKIN,1,1,144.500.000,,,,,,,
1MN Y-S8 Compact Afterburner,1.717,6.651,144.398.334,,,,,,,
Shadow Small Blaster Battery,2,10,144.200.000,,,,,,,
Ultraconducting Ablative Nanocable,25,24.51,144.183.802,,,,,,,
Large Hybrid Collision Accelerator II,9,15,144.161.645,,,,,,,
Brutix AIR Laboratories SKIN,1,2,144.050.926,,,,,,,
Jaguar In Rust We Trust SKIN,2,2,144.028.432,,,,,,,
Women's Grand Prix Racing Jacket,2,2,144.000.000,,,,,,,
Condor,191,370,143.955.289,,,,,,,
Minmatar UUA Nexus Chip,15,90,143.908.258,,,,,,,
Amarr Core Systems,22,25,143.882.586,,,,,,,
Medium Ice Harvester Accelerator I,122,298,143.796.497,,,,,,,
Medium Processor Overclocking Unit I,340,744,143.745.227,,,,,,,
Medium Projectile Locus Coordinator II,8,12,143.567.692,,,,,,,
Catalyst Blueprint,13,27,143.453.449,,,,,,,
Gravid Medium Energy Neutralizer Mutaplasmid,24,43,143.297.692,,,,,,,
CONCORD Panther Emblem,16,617,143.285.710,,,,,,,
Core Probe Launcher I,2.079,4.123,143.196.749,,,,,,,
Low-grade Edge Epsilon,5,7,143.074.646,,,,,,,
CONCORD Universal Translator,1,1,142.966.667,,,,,,,
Caldari Navy Medium Shield Booster,1,1,142.950.000,,,,,,,
Brynn's Modified EM Armor Hardener,1,1,142.900.000,,,,,,,
Caldari Navy Captain Insignia II,74,1.509,142.813.421,,,,,,,
Nuclear Reactor Unit Blueprint,15,39,142.696.817,,,,,,,
Amarr Offensive Systems,25,28,142.610.917,,,,,,,
Large Ancillary Shield Booster,149,318,142.595.069,,,,,,,
Micro Jump Field Generator,147,315,142.579.461,,,,,,,
Ishtar Exoplanets Hunter SKIN,5,6,142.517.587,,,,,,,
Barren Command Center,271,1.754,142.496.028,,,,,,,
Rorqual Amarr Industrial Livery SKIN,2,2,142.466.429,,,,,,,
Takmahl Quantum Sphere,21,26,142.369.893,,,,,,,
Retribution Cold Iron SKIN,17,21,142.367.311,,,,,,,
Stabber Fleet Issue Dawn of Liberation SKIN,3,3,142.356.735,,,,,,,
Minmatar Defensive Systems,26,28,142.287.598,,,,,,,
800mm Heavy 'Jolt' Repeating Cannon I,6,10,142.221.727,,,,,,,
Worm Helmatt's Harriers SKIN,2,2,142.200.000,,,,,,,
10MN Monopropellant Enduring Afterburner,1.003,3.138,142.194.049,,,,,,,
Atron,225,447,142.149.833,,,,,,,
Medium Targeting System Subcontroller I,65,298,141.944.871,,,,,,,
Unstable Small Ancillary Armor Repairer Mutaplasmid,3,4,141.789.173,,,,,,,
Shield Command Burst I,98,162,141.704.694,,,,,,,
Eifyr and Co. 'Gunslinger' Surgical Strike SS-901,32,344,141.677.198,,,,,,,
Basic' Heat Sink,5,7,141.646.824,,,,,,,
Tengu Biosecurity Responders SKIN,7,7,141.646.270,,,,,,,
Mercoxit Asteroid Mining Crystal Type C II,5,28,141.622.002,,,,,,,
Dread Guristas Mjolnir Light Missile,5,2.011,141.591.727,,,,,,,
Integrated' Hornet,52,302,141.382.999,,,,,,,
Caldari Core Systems,27,32,141.308.911,,,,,,,
True Sanshas Xray L,7,33,141.237.687,,,,,,,
Venture Blood Raider Industrial Livery SKIN,5,5,141.235.556,,,,,,,
Ubiquitous Moon Mining Crystal Type B I,21,204,141.200.983,,,,,,,
Standup Super-heavy Torpedo,10,13.89,141.200.852,,,,,,,
Small Mobile Siphon Unit,3,6,141.126.562,,,,,,,
280mm Prototype Siege Cannon,101,292,141.063.679,,,,,,,
Amarr Defensive Systems,25,28,141.023.469,,,,,,,
Dread Guristas Dual 150mm Railgun,15,21,140.898.049,,,,,,,
True Sansha Focused Medium Pulse Laser,5,8,140.866.876,,,,,,,
Core A-Type Explosive Armor Hardener,2,2,140.790.000,,,,,,,
Goal-Orienting Neurolink Stabilizer,17,1.66,140.741.071,,,,,,,
Spatial Destabilization Battery,10,32,140.659.619,,,,,,,
Navy Cap Booster 25,81,42.955,140.633.362,,,,,,,
Zainou 'Snapshot' Heavy Missiles HM-704,2,2,140.580.536,,,,,,,
Drake Navy Issue Exoplanets Hunter SKIN,3,3,140.380.239,,,,,,,
Exceptional Moon Mining Crystal Type B I Blueprint,15,15,140.364.000,,,,,,,
Men's 'Hyper' Racing Jacket,2,2,140.335.972,,,,,,,
Capital Projectile Turret,5,7,140.301.200,,,,,,,
Nuclear Pulse Generator,26,14.596,140.218.033,,,,,,,
True Sansha Explosive Armor Hardener,42,64,140.216.506,,,,,,,
Eifyr and Co. 'Rogue' Evasive Maneuvering EM-702,16,31,140.213.092,,,,,,,
Mjolnir Javelin Heavy Assault Missile,163,1.561.671,140.118.215,,,,,,,
Sunesis Silver Racer SKIN,2,2,139.990.000,,,,,,,
Supercapital Construction Facilities,1,1,139.700.000,,,,,,,
Emergent Neurovisual Interface Blueprint,8,12,139.693.666,,,,,,,
Navy Cap Booster 100,100,6.448,139.412.055,,,,,,,
Procurer Amarr Industrial Livery SKIN,5,5,139.356.998,,,,,,,
Deep Core Mining Inc. Strong Box,3,3,139.329.561,,,,,,,
Naga Aurora Universalis SKIN,4,4,139.323.731,,,,,,,
SlamBolt Condenser Pack L,5,6.78,139.179.900,,,,,,,
Ubiquitous Moon Mining Crystal Type A I,38,356,138.997.978,,,,,,,
Domination Multispectrum Coating,14,19,138.937.088,,,,,,,
Capital Radar Sensor Cluster Blueprint,7,9,138.789.474,,,,,,,
Vizan's Modified Kinetic Energized Membrane,1,1,138.600.000,,,,,,,
Warp Disruption Battery,13,20,138.541.248,,,,,,,
Zainou 'Deadeye' Medium Hybrid Turret MH-803,3,8,138.470.281,,,,,,,
Dread Guristas EM Shield Amplifier,38,53,138.309.995,,,,,,,
Inferno Rage Heavy Assault Missile,267,2.017.795,138.267.741,,,,,,,
Aeon Purity of the Throne SKIN,2,2,138.151.234,,,,,,,
Slaver Hound,63,44.294,138.110.122,,,,,,,
Caldari Encoder Splice,4,21,138.062.052,,,,,,,
Mining Drone I,674,4.911,138.051.182,,,,,,,
Men's Ace of Podhunters Jacket,2,2,137.895.800,,,,,,,
Women's SOE Enhanced Biosecurity Mask,5,8,137.880.417,,,,,,,
Hornet EC-300,1.34,22.623,137.761.956,,,,,,,
Covetor Rockbreaker Pioneers SKIN,4,4,137.672.056,,,,,,,
Hurricane Spirit SKIN,2,2,137.633.148,,,,,,,
Phased Plasma M,190,1.856.939,137.610.206,,,,,,,
Small Explosive Armor Reinforcer I,262,656,137.587.485,,,,,,,
Medium Shield Extender I,1.015,3.652,137.464.866,,,,,,,
Guardian Frontier Safeguarder SKIN,4,4,137.436.391,,,,,,,
Praxis Capsuleer Elite XV SKIN,8,9,137.337.914,,,,,,,
Women's 'Semiotique Sports' Shoes,1,1,137.277.778,,,,,,,
High-grade Talon Beta,3,4,137.229.338,,,,,,,
Malediction Capsuleer Day XV SKIN,3,4,137.179.793,,,,,,,
Small Hyperspatial Velocity Optimizer I,433,1.906,137.111.423,,,,,,,
Venture Guristas Industrial Livery SKIN,3,3,137.031.821,,,,,,,
Zainou 'Gypsy' Signature Analysis SA-704,2,2,136.950.000,,,,,,,
Experimental Enduring Thermal Armor Hardener I,219,1.336,136.780.432,,,,,,,
Synthetic Hull Conversion Overdrive Injector,6,7,136.643.924,,,,,,,
Compressed Hadal Rakovene,3,2.668,136.612.214,,,,,,,
10000MN Afterburner I Blueprint,8,10,136.563.750,,,,,,,
True Sanshas Ultraviolet L,7,30,136.529.096,,,,,,,
Warhead Upgrades,49,68,136.461.402,,,,,,,
Laser Focusing Crystals Blueprint,11,64,136.393.966,,,,,,,
Caldari Navy Lead Charge L,20,136.982,136.374.311,,,,,,,
Quest Survey Probe I,33,978,136.152.942,,,,,,,
Imperial Navy Medium Remote Capacitor Transmitter,4,9,136.122.720,,,,,,,
Guristas Lead Charge XL,5,17.076,136.080.692,,,,,,,
Legion Magnetometric ECM,1,2,136.059.306,,,,,,,
ECM Jammer Burst Projector Blueprint,3,3,136.000.000,,,,,,,
Mammoth Blueprint,6,9,135.905.584,,,,,,,
Gas Command Center,218,1.318,135.894.081,,,,,,,
XL Cruise Missile Launcher I Blueprint,2,3,135.858.835,,,,,,,
Vexor Zakura Shumyu SKIN,4,5,135.632.771,,,,,,,
Merlin Blue Tiger SKIN,1,1,135.450.000,,,,,,,
10000MN Monopropellant Enduring Afterburner Blueprint,3,4,135.375.000,,,,,,,
Women's 'Minima' Heels (gold),3,3,135.362.189,,,,,,,
Mjolnir Rage Rocket,274,1.654.658,135.121.879,,,,,,,
Eifyr and Co. 'Gunslinger' Motion Prediction MR-701,22,246,135.056.573,,,,,,,
Unrefined Rolled Tungsten Alloy Reaction Formula,7,12,135.024.432,,,,,,,
Capsuleer Day XVI Sunesis & SKIN Crate,4,5,135.012.414,,,,,,,
Cerberus Capsuleer Day XV SKIN,1,1,135.000.000,,,,,,,
Large Railgun Specialization,19,31,134.483.698,,,,,,,
Mjolnir Fury Light Missile,508,2.764.746,134.456.221,,,,,,,
Compressed Golden Omber,17,620.684,134.400.561,,,,,,,
Heavy Stasis Grappler I Blueprint,8,9,134.387.755,,,,,,,
Electrolytic Capacitor Unit Blueprint,15,46,134.313.140,,,,,,,
Gallente Battlecruiser,48,56,134.057.621,,,,,,,
Mjolnir XL Torpedo,5,12.493,133.967.209,,,,,,,
Low-grade Savior Gamma,1,1,133.900.000,,,,,,,
Low-grade Jackal Gamma,5,7,133.877.726,,,,,,,
250mm Prototype Gauss Gun,302,1.121,133.858.136,,,,,,,
Warp Scrambler I,138,1.357,133.660.590,,,,,,,
Sin Intaki Syndicate SKIN,1,1,133.633.333,,,,,,,
Multispectrum Shield Hardener I,527,1.226,133.592.879,,,,,,,
Capital EM Pulse Generator Blueprint,5,8,133.560.765,,,,,,,
Dairy Products,110,1.345.096,133.539.316,,,,,,,
Medium Artillery Battery,8,21,133.390.675,,,,,,,
Ammatar Navy Colonel Insignia I,14,334,133.344.009,,,,,,,
Serpentis Gold Tag,34,156,133.301.645,,,,,,,
Inherent Implants 'Noble' Repair Systems RS-604,1,1,133.293.595,,,,,,,
Women's Ace of Podhunters Jacket,2,2,133.238.443,,,,,,,
Gistum A-Type Kinetic Shield Amplifier,6,6,133.163.742,,,,,,,
Scourge Torpedo,172,528.002,133.085.767,,,,,,,
Probe,204,277,133.006.161,,,,,,,
Noble Metals,38,78.423.556,132.955.087,,,,,,,
Neurovisual Output Analyzer Blueprint,9,13,132.712.900,,,,,,,
Basic' Thermal Shield Amplifier,3,3,132.644.700,,,,,,,
Cruise Missile Battery,14,49,132.553.085,,,,,,,
Standup Weapon Disruptor II,2,2,132.514.584,,,,,,,
Astarte Inner Zone Vanguard SKIN,1,1,132.468.750,,,,,,,
Unstable Small Energy Neutralizer Mutaplasmid,18,30,132.293.887,,,,,,,
Dark Ochre,31,27.89,132.251.387,,,,,,,
Plasma Thruster Blueprint,10,36,132.156.376,,,,,,,
Medium Energy Nosferatu I,22,52,132.121.837,,,,,,,
Zainou 'Deadeye' Missile Bombardment MB-702,7,9,132.113.194,,,,,,,
Caldari Defensive Systems,24,28,132.106.374,,,,,,,
Caldari Starship Engineering,38,47,131.873.123,,,,,,,
Unstable Small Cap Battery Mutaplasmid,21,33,131.861.878,,,,,,,
Unstable Medium Shield Booster Mutaplasmid,24,45,131.799.713,,,,,,,
Women's 'Impress' Skirt (black leather),3,3,131.670.045,,,,,,,
Batch Compressed Iridescent Gneiss,2,262,131.652.022,,,,,,,
Scimitar Frontier Safeguarder SKIN,4,5,131.610.111,,,,,,,
Mining Foreman Burst I,66,151,131.482.020,,,,,,,
Serpentis Sensor Dampening Battery,1,1,131.212.500,,,,,,,
Type-D Restrained Nanofiber Structure,602,1.97,131.147.191,,,,,,,
Explosive Energized Membrane II,100,158,131.078.280,,,,,,,
Inherent Implants 'Squire' Energy Grid Upgrades EU-703,6,7,131.008.409,,,,,,,
Capital Capacitor Control Circuit I,9,14,130.816.360,,,,,,,
Low-grade Savior Delta,1,1,130.726.000,,,,,,,
Large Hybrid Burst Aerator I,5,6,130.548.366,,,,,,,
XL Torpedo Launcher I Blueprint,2,2,130.439.337,,,,,,,
Corpii A-Type Thermal Coating,27,42,130.375.484,,,,,,,
Tuvan's Modified Kinetic Coating,1,1,130.300.000,,,,,,,
280mm 'Scout' Artillery I,91,228,130.189.445,,,,,,,
Javelin M,283,1.938.623,130.181.923,,,,,,,
Medium Warp Core Optimizer II,11,14,130.065.406,,,,,,,
Ice Mining Laser I,59,260,130.063.777,,,,,,,
Medium 'Integrative' Hull Repair Unit,4,4,130.046.539,,,,,,,
Moa Lai Dai SKIN,1,1,130.000.000,,,,,,,
Capital Clarity Ward Enduring Shield Booster Blueprint,1,1,130.000.000,,,,,,,
Microwave XL Blueprint,4,5,129.992.222,,,,,,,
Abyssal Asteroid Mining Crystal Type B I Blueprint,13,13,129.876.722,,,,,,,
Vadari's Custom Gyrostabilizer,2,2,129.785.000,,,,,,,
Common Moon Mining Crystal Type B II,11,118,129.706.519,,,,,,,
Gravid Heavy Warp Scrambler Mutaplasmid,2,2,129.655.500,,,,,,,
Centii B-Type Small Remote Armor Repairer,5,9,129.456.777,,,,,,,
Heat Dissipation Array,9,14,129.432.841,,,,,,,
Cap Booster 400 Blueprint,17,33,129.423.271,,,,,,,
Antimatter Reactor Unit Blueprint,11,48,129.315.981,,,,,,,
500MN Microwarpdrive I,51,73,129.291.323,,,,,,,
Barrage S,406,3.594.007,129.168.079,,,,,,,
Men's 'Crusher' Cybernetic Arm (green camo right),4,6,129.095.119,,,,,,,
CONCORD Star Emblem,32,40,129.082.273,,,,,,,
Heretic Purity of the Throne SKIN,3,3,129.072.500,,,,,,,
Gallente Core Systems,20,24,128.959.615,,,,,,,
Men's 'Lockstep' Boots (true black),1,1,128.933.580,,,,,,,
Armor Energizing Charge Blueprint,9,10,128.818.321,,,,,,,
Electronic Hardening Charge Blueprint,6,10,128.766.274,,,,,,,
Station Vault Container,65,266,128.647.885,,,,,,,
Syndicate 200mm Steel Plates,2,2,128.643.471,,,,,,,
Men's 'Semiotique Sports' Shoes,1,1,128.584.800,,,,,,,
Inferno Torpedo Blueprint,16,17,128.411.655,,,,,,,
Null M,316,1.753.750,128.399.991,,,,,,,
Mega Anode Particle Stream I,96,241,128.381.299,,,,,,,
Polarized Heavy Pulse Laser,14,56,128.351.832,,,,,,,
Heist' Radar ECM,4,6,128.302.672,,,,,,,
Capital Auxiliary Thrusters I,2,2,128.277.778,,,,,,,
Shield Explosive Resistance Script,6,172,128.233.407,,,,,,,
Aqueous Liquids,48,116.625.525,128.192.088,,,,,,,
Batch Compressed Crimson Arkonor,4,417,128.187.084,,,,,,,
Linear Shield Emitter Blueprint,11,48,128.176.548,,,,,,,
Valkyrie I,427,5.688,128.144.102,,,,,,,
Drake Aurora Universalis SKIN,9,10,128.112.135,,,,,,,
Cyclone Fleet Issue Versus Redforce SKIN,1,1,128.075.679,,,,,,,
Capital Ghoul Compact Energy Nosferatu,1,1,128.050.000,,,,,,,
Tairei's Modified Explosive Energized Membrane,1,1,127.900.000,,,,,,,
Focused Modulated Pulse Energy Beam I,40,77,127.824.611,,,,,,,
Muninn Dawn of Liberation SKIN,1,1,127.650.000,,,,,,,
Reinforced Metallofullerene Alloys,4,53,127.634.352,,,,,,,
Tracking Speed Script,996,4.313,127.610.460,,,,,,,
Survey Probe Launcher II,30,49,127.497.041,,,,,,,
XL Torpedo Battery,3,7,127.300.000,,,,,,,
Ogre I,313,3.749,127.201.595,,,,,,,
Precursor Destroyer,121,365,127.133.065,,,,,,,
True Sansha Small Pulse Laser Battery,2,6,126.937.820,,,,,,,
Caldari Navy Lead Charge M,68,166.047,126.906.576,,,,,,,
Dread Guristas Mjolnir Cruise Missile,4,3.55,126.897.804,,,,,,,
Anshar Exoplanets Hunter SKIN,2,2,126.887.500,,,,,,,
Ubiquitous Moon Mining Crystal Type B I Blueprint,17,18,126.857.377,,,,,,,
Merlin Operation Permafrost SKIN,4,4,126.851.406,,,,,,,
Tengu Glacial Drift SKIN,1,1,126.800.000,,,,,,,
Dread Guristas Mjolnir Torpedo,4,2.002,126.764.141,,,,,,,
Vexor Headhunter SKIN,18,23,126.703.323,,,,,,,
Poteque 'Prospector' Astrometric Rangefinding AR-802,45,70,126.680.276,,,,,,,
Capital Energy Burst Aerator II,4,6,126.676.250,,,,,,,
Gleam S,217,2.366,126.650.486,,,,,,,
Combat Scanner Probe I Blueprint,11,28,126.644.717,,,,,,,
Noose' Cruise Missile Launcher,7,18,126.630.279,,,,,,,
Cormorant Blueprint,13,18,126.541.210,,,,,,,
Vexor Quafe SKIN,1,1,126.473.333,,,,,,,
Gist A-Type Thermal Shield Hardener,7,7,126.455.227,,,,,,,
Vedmak Metamateria Exotica SKIN,2,2,126.163.333,,,,,,,
400mm Crystalline Carbonide Restrained Plates,378,1.488,126.075.358,,,,,,,
Capital Emergency Hull Energizer I Blueprint,3,3,126.000.000,,,,,,,
Compressed Brilliant Gneiss,5,8.022,125.916.007,,,,,,,
Warden I Blueprint,6,9,125.913.356,,,,,,,
Superconducting Radar Amplifier Blueprint,10,13,125.885.072,,,,,,,
Gravid Medium Shield Extender Mutaplasmid,34,89,125.881.729,,,,,,,
Medium Stasis Drone Augmentor II,2,3,125.670.901,,,,,,,
Decayed 5MN Microwarpdrive Mutaplasmid,60,192,125.626.456,,,,,,,
Precursor Frigate,130,237,125.613.940,,,,,,,
Medium Autocannon Specialization,25,36,125.581.884,,,,,,,
Republic Fleet Small Shield Booster,6,6,125.505.175,,,,,,,
Domination Dual 425mm Autocannon,6,14,125.494.719,,,,,,,
Maller Sarum SKIN,40,55,125.477.443,,,,,,,
Men's 'Commando' Pants (brown camo),2,2,125.398.667,,,,,,,
Limited Mega Neutron Blaster I,88,395,125.301.994,,,,,,,
Barghest Glacial Drift SKIN,3,3,125.250.000,,,,,,,
Gistum C-Type Kinetic Shield Amplifier,17,27,125.226.060,,,,,,,
Coreli B-Type Explosive Coating,8,12,125.217.212,,,,,,,
Women's 'Outlaw' Pants (Sansha's Nation),1,1,125.200.000,,,,,,,
Men's Sukuuvestaa Crew Jacket,1,1,125.200.000,,,,,,,
Small EMP Smartbomb II,48,157,125.186.443,,,,,,,
Dark Blood Energy Neutralizing Battery,2,4,125.178.480,,,,,,,
Men's 'Outlaw' Jacket (Guristas),20,24,125.138.257,,,,,,,
Caracal Kimotoro Eskeitan SKIN,1,1,125.100.000,,,,,,,
Deimos Intaki Syndicate SKIN,1,1,125.100.000,,,,,,,
Uncommon Moon Mining Crystal Type C I Blueprint,11,12,125.049.600,,,,,,,
Capital Projectile Collision Accelerator I Blueprint,2,3,125.000.000,,,,,,,
Women's 'Eternity' Boots (Olive),1,1,125.000.000,,,,,,,
Capital Core Defense Capacitor Safeguard I Blueprint,2,3,125.000.000,,,,,,,
Capital Core Defense Field Purger I Blueprint,2,3,125.000.000,,,,,,,
Capital Command Processor I Blueprint,2,2,125.000.000,,,,,,,
Capital Explosive Shield Reinforcer I Blueprint,2,3,125.000.000,,,,,,,
Gallente Control Tower Small Blueprint,1,1,125.000.000,,,,,,,
Women's 'Liberator' Beret (Minmatar Republic),2,2,124.990.000,,,,,,,
Republic Fleet Firetail Liberation Games SKIN,1,1,124.900.000,,,,,,,
Women's 'Vise' Cybernetic Arm (blue and black ringed right),3,4,124.817.281,,,,,,,
Apostle Frontier Safeguarder SKIN,5,6,124.715.100,,,,,,,
Imperial Navy Infrared L,54,274,124.666.861,,,,,,,
Small Core Defense Operational Solidifier II,17,26,124.635.267,,,,,,,
Electromechanical Interface Nexus Blueprint,8,12,124.594.116,,,,,,,
High-grade Spur Epsilon,2,2,124.586.224,,,,,,,
Capital Gravimetric Sensor Cluster,3,626,124.555.875,,,,,,,
Small Warhead Rigor Catalyst II,38,67,124.548.008,,,,,,,
HZO Refinery Strong Box,2,3,124.511.662,,,,,,,
Standup Weapon Disruptor I,3,3,124.500.000,,,,,,,
Guristas Gold Tag,46,255,124.469.203,,,,,,,
Mjolnir Cruise Missile Blueprint,20,27,124.461.409,,,,,,,
Capital Capacitor Emission Systems,13,13,124.372.028,,,,,,,
Warp Core Stabilizer I,593,1.542,124.352.517,,,,,,,
Glorification-15 'Devana' Filament,24,85,124.125.176,,,,,,,
Federation Navy Comet Spirit SKIN,2,2,124.111.792,,,,,,,
Unrefined Titanium Chromide Reaction Formula,6,11,124.067.949,,,,,,,
Gleam XL,5,28,123.960.088,,,,,,,
Dread Guristas Scourge Heavy Missile,6,2.219,123.889.970,,,,,,,
Ballistic Deflection Array,9,16,123.831.162,,,,,,,
Slasher,185,438,123.806.831,,,,,,,
Rapid Repair Charge Blueprint,8,16,123.678.612,,,,,,,
Berserker I Blueprint,19,28,123.612.866,,,,,,,
Inherent Implants 'Noble' Hull Upgrades HG-1001,21,410,123.550.419,,,,,,,
Fedo,9,177,123.515.418,,,,,,,
Gravid Small Armor Repairer Mutaplasmid,20,59,123.295.313,,,,,,,
Electromechanical Hull Sheeting,136,295.765,123.288.832,,,,,,,
Centii B-Type Small Armor Repairer,2,2,123.288.641,,,,,,,
Small Intact Hull Section,12,21,123.282.969,,,,,,,
Nanowire Composites Blueprint,8,11,123.250.593,,,,,,,
Avatar Deathglow Hunters SKIN,14,16,123.199.384,,,,,,,
Ship Scanner II,94,162,123.088.224,,,,,,,
Fleeting Compact Stasis Webifier,1.368,4.686,123.087.757,,,,,,,
Ammatar Navy Heavy Capacitor Booster,2,3,123.011.945,,,,,,,
Superconducting Ladar Amplifier Blueprint,8,12,123.009.842,,,,,,,
Noctis Glacial Drift SKIN,3,3,122.930.881,,,,,,,
Goru's Shuttle,17,23,122.733.013,,,,,,,
Rapid Repair Charge,158,275.102,122.672.900,,,,,,,
Large Railgun Battery,2,4,122.667.460,,,,,,,
Superconducting Ladar Amplifier,2,39,122.487.298,,,,,,,
Gallente Offensive Systems,18,21,122.451.079,,,,,,,
Gallente Propulsion Systems,20,24,122.439.535,,,,,,,
Republic Fleet Nuclear M,32,112.751,122.430.122,,,,,,,
425mm Railgun I Blueprint,8,8,122.384.877,,,,,,,
Rorqual Gallente Industrial Livery SKIN,1,1,122.212.222,,,,,,,
Cartel' Power Diagnostic System I,3,3,122.181.052,,,,,,,
Nidhoggur Justice SKIN,2,2,122.079.750,,,,,,,
Khanid Navy Ballistic Control System,1,1,122.000.000,,,,,,,
Shadow Iridium Charge XL,4,27.744,121.889.977,,,,,,,
Heron Blueprint,27,35,121.877.677,,,,,,,
425mm Medium 'Scout' Autocannon I,99,318,121.818.202,,,,,,,
CONCORD Raptor Emblem,17,221,121.754.268,,,,,,,
Large Engine Thermal Shielding II,3,3,121.666.571,,,,,,,
Nestor Glacial Drift SKIN,3,3,121.664.637,,,,,,,
Mastodon Justice SKIN,4,4,121.590.736,,,,,,,
Harvest Webifier Booster I,197,854,121.590.287,,,,,,,
Metallofullerene Plating Blueprint,9,12,121.579.546,,,,,,,
Naglfar Justice SKIN,1,1,121.508.889,,,,,,,
Domination Thermal Shield Amplifier,14,19,121.474.282,,,,,,,
Mjolnir Torpedo Blueprint,19,19,121.318.639,,,,,,,
Domination 5MN Microwarpdrive,5,5,121.218.673,,,,,,,
Capital I-a Enduring Armor Repairer Blueprint,1,1,121.000.000,,,,,,,
Wrecked Hull Section,21,67,120.745.427,,,,,,,
Superconducting Magnetometric Amplifier Blueprint,9,12,120.717.936,,,,,,,
Cap Booster 800 Blueprint,12,25,120.697.696,,,,,,,
Sensor Optimization Charge,120,225.151,120.650.440,,,,,,,
