Commodity,Number of trades,Traded items,Value of trades,https://www.adam4eve.eu/tradeVol_type.php
Nova Fury XL Cruise Missile,4,7.83,129.335.729,
Explosive Energized Membrane II,108,205,129.329.800,
Ubiquitous Moon Mining Crystal Type A I,28,339,129.179.880,
Raven Aurora Universalis SKIN,13,17,128.998.086,
Explosion Dampening Array,14,24,128.920.987,
Raven Caldari Navy SKIN,4,4,128.894.578,
Shield Extension Charge Blueprint,8,11,128.818.071,
Dominix Navy Issue Spirit SKIN,2,2,128.793.242,
High-grade Jackal Alpha,4,6,128.767.647,
Improved Mindflood Booster Reaction Formula,2,3,128.738.479,
Women's 'Eternity' Suit (Black/Red),2,2,128.733.750,
Cruise Missile Battery,11,35,128.719.477,
Rupture Bloody Hands SKIN,2,4,128.700.000,
Domination Dual 425mm Autocannon,8,15,128.590.522,
HZO Refinery Strong Box,2,4,128.470.306,
Medium Energy Discharge Elutriation II,5,7,128.451.240,
Minmatar Propulsion Systems,24,25,128.360.754,
Oracle Sarum SKIN,1,1,128.343.333,
Berserker TP-900,10,788,128.340.258,
Capital Crystalline Carbonide Armor Plate Blueprint,6,12,128.294.235,
Caldari Propaganda Broadcast Structure,4,43,128.288.048,
Capital Flex Armor Hardener I,2,2,128.044.800,
Men's 'Kybernaut Clade' Beret,1,1,128.028.844,
10000MN Monopropellant Enduring Afterburner Blueprint,3,3,128.000.000,
Setele's Modified Kinetic Coating,1,1,128.000.000,
Women's 'Sterling' Dress Blouse (olive),1,1,127.995.556,
Core C-Type Explosive Armor Hardener,9,9,127.872.838,
Unstable Small Energy Neutralizer Mutaplasmid,21,32,127.849.105,
Minmatar Core Systems,24,27,127.740.176,
Imperial Navy Infrared L,39,369,127.668.806,
Scalar Capacitor Unit Blueprint,11,24,127.666.667,
Capital Fernite Carbide Composite Armor Plate Blueprint,6,9,127.664.835,
Stabber Krusual SKIN,2,3,127.650.000,
Mid-grade Halo Beta,7,7,127.565.813,
Wing Command,30,36,127.314.046,
Multispectrum Shield Hardener I,448,1.387,127.313.844,
Mega Anode Particle Stream I,106,268,127.305.004,
Women's 'Eternity' Suit Top (Black/Red),2,2,127.175.241,
Valkyrie I,386,3.711,127.151.066,
True Sansha Dual Giga Pulse Laser,1,1,127.100.000,
Tracking Speed Script,990,5.418,127.051.477,
Wrecked Hull Section,26,80,127.042.485,
Praxis Capsuleer Day XVI SKIN,7,8,127.036.167,
Vizan's Modified Thermal Armor Hardener,1,1,127.015.000,
Sentient Remote Sensor Booster,17,32,127.003.720,
Worm Aurora Universalis SKIN,10,10,126.979.798,
Standup Cruise Missile Blueprint,7,7,126.933.333,
Armor Energizing Charge Blueprint,8,21,126.540.443,
Men's Capsuleer Elite XIX Hoodie,1,1,126.455.494,
Medium Core Defense Charge Economizer II,7,12,126.445.760,
Warhead Upgrades,41,50,126.442.023,
Ares Hunter's Quiver SKIN,2,2,126.434.375,
Talwar Blueprint,9,15,126.310.259,
Decayed 5MN Microwarpdrive Mutaplasmid,59,147,126.264.787,
Domination Medium AutoCannon Battery,1,4,126.066.667,
Rifter Chainbreaker Khumaak SKIN,1,1,126.040.000,
Catalyst Aliastra SKIN,3,3,126.025.000,
Drake Capsuleer Day XV SKIN,3,3,125.981.708,
Pithum C-Type Kinetic Shield Amplifier,75,173,125.931.043,
Scorpion Navy Issue Zento Isideko Combine SKIN,1,1,125.875.000,
Wightstorm Cetana Booster I,228,1.196,125.825.257,
Compressed Brilliant Gneiss,4,13.874,125.800.648,
Exequror GalNet StreamCast Unit SKIN,6,9,125.738.916,
Polymer Reactor Array,2,4,125.502.778,
Tormentor Purity of the Throne SKIN,3,3,125.490.000,
Domination Fusion M,7,6.659,125.417.492,
Expired Harvest Webifier Booster I,36,357,125.412.774,
Basic' Reinforced Bulkheads,7,10,125.307.109,
400mm Crystalline Carbonide Restrained Plates,351,1.561,125.262.913,
Pilgrim Cold Iron SKIN,4,4,125.243.416,
Amarr Core Systems,20,23,125.204.408,
Large Hybrid Ambit Extension II,4,6,125.129.312,
Arch Angel Fusion XL,11,19.357,125.099.361,
Small 'Wolf' Shield Extender,11,16,125.075.814,
Corax Luminaire Zenith SKIN,1,1,125.011.980,
Minmatar Defensive Systems,23,24,125.010.259,
Women's 'Humanitarian' T-shirt YC 117,1,1,125.000.000,
Myrmidon Inner Zone Vanguard SKIN,1,1,125.000.000,
Damavik Blackfire Steel SKIN,1,1,124.603.333,
Capital Gravimetric Sensor Cluster,2,492,124.555.875,
High-grade Spur Delta,2,2,124.454.720,
Slither' Heavy Electron Blaster I,7,15,124.282.595,
Dark Blood EM Armor Hardener,41,73,124.195.228,
Ammatar Navy Small Armor Repairer,3,3,124.148.426,
Guristas Mjolnir Cruise Missile,43,84.942,124.133.229,
Amarr Offensive Systems,23,25,124.008.510,
Customs Code Expertise,32,39,123.942.835,
Pith A-Type Thermal Shield Hardener,8,9,123.936.309,
Guristas Gold Tag,50,298,123.797.604,
Zainou 'Gnome' Launcher CPU Efficiency LE-602,8,8,123.791.657,
Vindicator Versus Redforce SKIN,3,3,123.773.232,
Capital EM Pulse Generator Blueprint,7,11,123.750.000,
Gnosis Capsuleer Day XVI SKIN,5,8,123.641.010,
Large Ancillary Shield Booster,135,285,123.631.344,
Serpentis Platinum Tag,25,367,123.314.329,
Stratios Yoiul Star SKIN,1,1,123.300.000,
Noble Gas,42,181.687.019,123.278.476,
800mm Repeating Cannon I,16,107,123.190.410,
Electromechanical Hull Sheeting,153,419.025,123.185.476,
Fleeting Compact Stasis Webifier,1.286,5.985,123.092.170,
Widow Caldari Navy SKIN,4,4,123.079.775,
Jump Bridge,1,2,123.070.000,
Small Projectile Ambit Extension II,19,40,122.972.995,
425mm Railgun I Blueprint,10,10,122.727.273,
Bowhead Caldari Industrial Livery SKIN,1,1,122.682.467,
Fusion Reactor Unit Blueprint,14,31,122.657.205,
Small Railgun Battery,6,27,122.567.746,
Pith C-Type Kinetic Shield Hardener,14,18,122.505.180,
Capital Murky Compact Remote Shield Booster Blueprint,2,2,122.500.000,
Women's Obsidian Opulence Pants,2,2,122.462.963,
Gallente Defensive Systems,22,25,122.361.999,
Panther Versus Redforce SKIN,4,4,122.358.736,
Standup Heavy Guided Bomb Blueprint,6,6,122.280.000,
GalvaSurge Condenser Pack S,10,9.631,122.199.040,
Drake Argyros Elite XVI SKIN,7,8,122.194.937,
Mjolnir Javelin Heavy Assault Missile,149,1.462.276,122.177.321,
Stasis Webification Battery,13,21,122.102.549,
Fusion Thruster Blueprint,10,30,122.022.496,
Gravid Assault Damage Control Mutaplasmid,14,54,121.917.077,
Dragoon Ironblood SKIN,6,8,121.868.758,
Null M,327,2.160.407,121.805.127,
Compressed Imperial Ducinium,5,13.302,121.784.770,
Low-grade Savior Alpha,2,2,121.707.600,
Slasher,163,327,121.705.119,
Gila Glacial Drift SKIN,8,8,121.580.800,
Warp Core Stabilizer I,535,1.876,121.540.714,
Warden I Blueprint,8,10,121.500.290,
Basic' Kinetic Shield Amplifier,5,6,121.449.875,
Core A-Type Kinetic Armor Hardener,4,4,121.435.460,
Complex Asteroid Mining Crystal Type B I,19,133,121.348.415,
Inferno Cruise Missile,205,865.93,121.324.686,
Infiltrator I Blueprint,20,24,121.184.674,
Noble Metals,31,57.561.072,121.084.700,
Corpum A-Type Medium Remote Capacitor Transmitter,23,45,121.028.392,
Capital Photon Microprocessor Blueprint,5,10,121.000.000,
Heavy Fleeting Compact Warp Disruptor,2,2,120.971.089,
Large Warhead Rigor Catalyst I,20,30,120.948.853,
Shield Command Burst I,92,215,120.932.474,
Tachyon Beam Laser I,9,45,120.789.901,
Yoiul Blizzard Firework,13,3.904,120.776.668,
Blood Radio L,24,192,120.717.223,
Band of Brothers Director Access Key,1,1,120.642.653,
Compressed Silvery Omber,18,747.8,120.546.391,
Gallente Core Systems,22,24,120.222.182,
Standup Signal Amplifier I Blueprint,2,2,120.000.000,
Standup Co-Processor Array I Blueprint,2,2,120.000.000,
Standup Antaeus I,3,7,119.919.996,
Breacher Vherokior SKIN,1,1,119.850.000,
Republic Fleet Nuclear M,24,95.893,119.626.771,
Caldari Propulsion Systems,24,25,119.594.633,
CONCORD Star Emblem,8,23,119.491.176,
Orca Amarr Industrial Livery SKIN,1,1,119.408.333,
Dark Blood Explosive Armor Hardener,42,73,119.342.853,
Men's Triglavian Survival Suit (Encounter),20,26,119.277.513,
Exceptional Moon Mining Crystal Type A I Blueprint,15,16,119.242.560,
Tuvan's Modified Kinetic Armor Hardener,1,1,119.200.000,
Cap Booster 800 Blueprint,17,28,119.197.166,
Ishtar Exoplanets Hunter SKIN,4,6,119.122.351,
Medium Ancillary Remote Shield Booster,24,63,119.119.813,
Capital Tesseract Capacitor Unit Blueprint,6,9,119.062.500,
Compressed Replete Zircon,3,7.893,118.964.713,
Small Gravity Capacitor Upgrade I,982,2.502,118.947.522,
Blood Multifrequency M,12,130,118.936.223,
Armageddon Tash-Murkon SKIN,1,1,118.912.500,
Inferno Rage Heavy Assault Missile,221,1.870.175,118.642.421,
Daredevil Spirit SKIN,2,2,118.562.857,
Batch Compressed Resplendant Kernite,2,2.547,118.550.453,
Scan Acquisition Array II,99,138,118.504.794,
Armor Reinforcement Charge Blueprint,6,13,118.500.092,
Large Dynamic Fuel Valve II,3,6,118.373.056,
Stabber Hunter's Quiver SKIN,7,7,118.285.549,
Sansha Medium Beam Laser Battery,1,3,118.213.333,
Eifyr and Co. 'Gunslinger' Motion Prediction MR-702,12,18,118.182.044,
Small 'Trapper' Shield Extender,13,17,118.110.795,
Mjolnir Fury Light Missile,430,2.212.765,118.089.316,
Capital Bay Loading Accelerator I,2,2,118.069.600,
Medium Railgun Specialization,33,43,118.058.605,
Amarr Battlecruiser,38,46,118.014.508,
Fusion L,104,676.705,117.902.691,
Standup Scarab I,2,5,117.899.436,
Large Graviton Smartbomb II,13,37,117.833.474,
Glycerine' Shield Boost Amplifier,4,5,117.712.800,
Endurance Angel Industrial Livery SKIN,2,2,117.690.625,
Apocalypse Navy Issue Purity of the Throne SKIN,1,1,117.656.667,
Eifyr and Co. 'Rogue' Warp Drive Operation WD-608,3,3,117.548.764,
Large Targeting Systems Stabilizer II,1,2,117.537.500,
Phoenix Exoplanets Hunter SKIN,1,1,117.407.778,
Phoenix Spirit SKIN,3,3,117.300.000,
Synthetic Hull Conversion Nanofiber Structure,6,7,117.238.240,
Integrated' Wasp,21,70,117.024.011,
Limited Mega Neutron Blaster I,96,307,116.922.154,
Small Emission Scope Sharpener II,62,89,116.893.480,
Sacrilege Purity of the Throne SKIN,1,1,116.765.000,
Ogre I,291,2.239,116.751.481,
Caracal Steel Cardinal SKIN,7,7,116.722.858,
Paladin Biosecurity Responders SKIN,10,10,116.676.022,
Warp Disruption Battery,12,18,116.614.645,
Raven Hunter's Quiver SKIN,3,4,116.474.958,
Capital Capacitor Booster I Blueprint,6,8,116.405.540,
Phantasm Scope Syndication YC122 SKIN,3,3,116.402.620,
Imperial Navy Medium Remote Capacitor Transmitter,1,2,116.382.694,
Compressed Xenotime,4,16.773,116.362.742,
Dromi I,10,49,116.308.739,
Brokara's Modified Kinetic Armor Hardener,1,1,116.300.000,
Large Cap Battery I,50,823,116.158.526,
True Sanshas Standard L,12,32,116.156.700,
Large Bay Loading Accelerator I,20,21,116.126.056,
Guardian Frontier Safeguarder SKIN,6,6,116.082.402,
Medium Blaster Specialization,27,42,116.019.499,
Strong Exile Booster Reaction Formula,1,1,116.003.437,
Fulleroferrocene Power Conduits Blueprint,8,12,115.879.426,
Mining Drone I,543,5.325,115.812.525,
Nesosilicate Rakovene,4,21.02,115.500.349,
Complex Asteroid Mining Crystal Type C II,6,54,115.424.694,
Wightstorm Manasikara Booster IV,44,75,115.279.650,
Small Capacitor Control Circuit I,574,1.334,115.185.328,
Nanowire Composites Blueprint,8,10,115.163.833,
Dread Guristas Thermal Shield Hardener,36,41,115.136.871,
Large Energy Metastasis Adjuster I,7,8,115.136.575,
Women's 'Hover' Tights (red),3,3,115.130.289,
Batch Compressed Massive Scordite,5,26.672,115.075.792,
Unrefined Rolled Tungsten Alloy Reaction Formula,11,13,115.013.702,
Standup Light Guided Bomb Blueprint,5,5,115.000.000,
350mm Railgun I Blueprint,10,13,115.000.000,
Weapon Disruption Burst Projector Blueprint,2,2,115.000.000,
Pith B-Type Thermal Shield Hardener,13,14,114.985.572,
Medium I-b Polarized Structural Regenerator,160,404,114.976.842,
Armageddon Navy Issue Purity of the Throne SKIN,1,1,114.966.667,
Caldari Navy Fleet Commander Insignia,7,141,114.794.139,
Lockbreaker Bomb,12,74,114.779.933,
Gleam S,178,2.142,114.764.607,
Electromechanical Interface Nexus Blueprint,8,12,114.760.133,
Talwar Semiotique Sports SKIN,2,2,114.733.332,
Porpoise Minmatar Industrial Livery SKIN,4,4,114.721.585,
EM Shield Hardener I,60,195,114.639.327,
Dread Guristas Scourge Cruise Missile,6,3.738,114.605.447,
Vigil Blueprint,19,80,114.545.555,
Multifrequency M,244,3.649,114.482.201,
Abyssal Asteroid Mining Crystal Type C I Blueprint,10,12,114.480.000,
Small Drone Scope Chip II,6,7,114.416.970,
Medium EMP Smartbomb II,36,97,114.378.718,
Mercoxit Asteroid Mining Crystal Type C II,4,32,114.273.377,
Large Energy Discharge Elutriation II,7,8,114.255.662,
Abyssal Asteroid Mining Crystal Type A II,9,88,114.081.834,
Small Drone Mining Augmentor II,11,18,114.071.548,
Log Fragment 3 (Gala YC121),4,48,113.849.004,
Mega Afocal Pulse Maser I,123,452,113.825.278,
Sleipnir Exoplanets Hunter SKIN,2,2,113.730.000,
Magnetometric Sensor Cluster Blueprint,13,28,113.646.212,
Ammatar Navy Medium Energy Neutralizer,2,2,113.618.933,
Experimental Laboratory,1,1,113.350.000,
Capital Energy Locus Coordinator II,4,15,113.192.595,
Sunesis Violet Vellication SKIN,4,8,113.158.255,
Dark Blood Ultraviolet L,1,2,113.112.225,
Dread Guristas Nova Cruise Missile,6,3.525,113.044.550,
Venture Lodestrike SKIN,28,33,113.018.433,
Shadow Serpentis Reactor Control Unit,3,5,112.975.437,
Serpentis Medium Blaster Battery,3,7,112.740.000,
Dread Guristas Nova Light Missile,9,3.111,112.714.609,
Rapid Repair Charge,145,311.967,112.680.462,
Rifter Dawn of Liberation SKIN,3,3,112.641.250,
Procurer Gallente Industrial Livery SKIN,3,4,112.495.586,
Glorification-15 'Devana' Filament,22,80,112.491.289,
Shadow Serpentis Medium Plasma Smartbomb,19,25,112.429.613,
Revelation Exoplanets Hunter SKIN,2,2,112.372.917,
Vargur Biosecurity Responders SKIN,9,10,112.332.523,
Imperial Navy Captain Insignia I,106,2.304,112.174.185,
Chainmail' 200mm Steel Plates,10,17,112.127.735,
Basic' Capacitor Recharger,6,7,112.114.580,
Initiated Compact Warp Scrambler,871,3.008,112.103.637,
Large 'Integrative' Hull Repair Unit,3,3,112.023.052,
Capital Flex Shield Hardener I Blueprint,3,3,112.000.000,
Standup Light Missile Blueprint,6,6,112.000.000,
Batch Compressed Sharp Crokite,1,2,111.945.892,
Self-Assembling Nanolattice Blueprint,10,13,111.842.785,
Infomorph Psychology,87,110,111.749.386,
Inherent Implants 'Lancer' Gunnery RF-902,7,10,111.747.433,
Armor Energizing Charge,158,303.942,111.741.042,
Ballistic Deflection Array,10,17,111.705.572,
Talwar,63,135,111.572.681,
Metallofullerene Plating Blueprint,10,13,111.518.450,
Nova Fury Light Missile,371,1.995.934,111.345.817,
Decayed 10MN Afterburner Mutaplasmid,66,185,111.314.970,
Small Hybrid Locus Coordinator I,65,422,111.273.674,
Anode Mega Neutron Particle Cannon I,84,246,111.270.926,
Zainou 'Gnome' Shield Operation SP-902,7,10,111.267.065,
Zainou 'Snapshot' Defender Missiles DM-805,1,1,111.256.600,
Legion Biosecurity Responders SKIN,10,10,111.250.032,
Catalyst Scope Syndication YC122 SKIN,1,1,111.149.305,
Caldari Navy Lead Charge M,42,179.33,111.111.115,
Raven Guristas SKIN,2,2,111.102.469,
Men's 'Semiotique Sports' Shoes,2,2,110.861.719,
Large Plasma Smartbomb II,12,63,110.823.308,
Chimera Matigu Seabeast SKIN,1,1,110.800.000,
Medium Polycarbon Engine Housing I,196,422,110.726.784,
High-grade Spur Alpha,4,4,110.719.821,
Medium Beam Laser Battery,7,16,110.651.704,
Optimized Nano-Engines Blueprint,10,13,110.641.173,
Nereus Inner Zone Vanguard SKIN,10,10,110.639.000,
Caldari Navy Iron Charge L,28,181.675,110.593.721,
Gallente Offensive Systems,20,22,110.558.411,
Covetor Rockbreaker Pioneers SKIN,6,6,110.541.465,
Loki Glacial Drift SKIN,8,8,110.453.824,
Gallente Propulsion Systems,19,22,110.420.776,
Berserker I Blueprint,19,29,110.376.887,
Large Secure Container,27,153,110.375.202,
Quad Light Beam Laser II,19,79,110.368.640,
Null S,475,3.721.779,110.235.454,
Precursor Battlecruiser,75,111,110.110.681,
Unstable Assault Damage Control Mutaplasmid,3,4,110.065.542,
Metamorphosis Genolution Dazzle SKIN,1,1,110.000.000,
Men's 'Hephaestus' Shirt (green),1,1,110.000.000,
Blood Medium Beam Laser Battery,2,5,109.980.000,
Women's 'Strut' Pants (blue),4,4,109.810.000,
Medium Gremlin Compact Energy Neutralizer,327,1.048,109.655.408,
Tachyon Beam Laser I Blueprint,3,7,109.583.333,
Internal-5 'Pochven' Filament,186,1.157,109.539.481,
Capital Hydraulic Bay Thrusters I,2,4,109.519.752,
Medium Hull Repairer II,20,28,109.512.819,
Maelstrom Nefantar SKIN,2,2,109.495.000,
Standup Remote Sensor Dampener I,4,6,109.439.988,
Small Polycarbon Engine Housing I,380,1.025,109.387.431,
720mm 'Scout' Artillery I,98,462,109.356.615,
Gallente Battlecruiser,37,41,109.306.943,
Stargazer Lantern Firework,27,4.173,109.297.254,
Poteque 'Prospector' Astrometric Pinpointing AP-602,39,45,109.254.830,
EMP M,213,2.892.197,109.119.845,
Thrasher Metalbee Minmatar SKIN (Permanent),2,2,108.889.053,
Hobgoblin I,1.703,39.113,108.872.985,
Capital Titanium Diborite Armor Plate Blueprint,6,11,108.750.000,
Gallente Alpha Nexus Chip,5,7,108.734.816,
TE-2100 Ample XL Cruise Missile Launcher Blueprint,1,1,108.700.000,
Large Energy Locus Coordinator II,9,13,108.559.422,
Corpum C-Type Thermal Energized Membrane,25,37,108.547.859,
Crossbow' Focused Medium Beam Laser I,6,9,108.474.121,
Men's Capsuleer Networker XV Suit,6,7,108.424.218,
Guristas Scourge Light Missile,109,207.956,108.421.659,
Core C-Type EM Armor Hardener,9,12,108.322.601,
Small Intact Hull Section,17,28,108.321.663,
Pith B-Type Kinetic Shield Hardener,10,10,108.221.003,
Large Command Processor I,12,16,108.213.569,
Mid-grade Halo Alpha,7,8,108.197.261,
Small Malfunctioning Hull Section,22,54,108.154.727,
Capital Processor Overclocking Unit I,5,6,108.083.765,
Women's 'Poise' Pants (black),2,2,108.038.750,
Domination Titanium Sabot L,8,5.49,108.028.429,
Merlin Blue Tiger SKIN,1,1,108.000.000,
Apocalypse Kador SKIN,5,6,107.945.355,
Ammatar Navy Heavy Energy Nosferatu,4,4,107.880.120,
Retribution Cold Iron SKIN,7,9,107.733.962,
Graviton Pulse Generator Blueprint,13,21,107.634.921,
Medium 'Gattotte' Capacitor Booster,8,8,107.364.877,
Federation Navy Small Armor Repairer,11,12,107.274.842,
Shadow Serpentis Explosive Armor Hardener,34,44,107.272.104,
Nova Torpedo,164,463.352,107.153.725,
10K Bounty SCC Encrypted Bond,89,2.212,107.110.972,
Large Cargohold Optimization I,33,61,107.023.738,
Capital Targeting Systems Stabilizer I Blueprint,2,2,107.000.000,
Minedrill Strong Box,3,3,106.986.171,
Ship Scanner II,106,165,106.984.703,
AE-K Compact Drone Damage Amplifier,629,2.632,106.958.493,
Capital Kinetic Armor Reinforcer I,2,2,106.942.000,
Ultraviolet XL Blueprint,4,4,106.918.367,
Capital Quantum Microprocessor Blueprint,5,9,106.875.000,
Brutix Warp Convergence SKIN,4,5,106.558.961,
800mm Heavy 'Scout' Repeating Cannon I,72,243,106.413.239,
Dread Guristas 200mm Railgun,9,21,106.255.912,
Storm Command Center,152,1.045,106.250.124,
Capital Remote Hull Repair Systems,11,11,106.233.083,
Medium Ship Assembly Array,1,1,106.192.778,
Vexor Navy Issue Spirit SKIN,3,3,106.100.473,
Inherent Implants 'Squire' Energy Grid Upgrades EU-702,7,8,106.038.874,
Capital Graviton Pulse Generator Blueprint,7,10,106.000.000,
Focused Warp Scrambling Script,57,371,105.979.681,
Large Rocket Fuel Cache Partition I,13,16,105.930.832,
MesmerFlux Condenser Pack L,7,8.276,105.868.845,
Malfunctioning Thruster Sections,20,49,105.785.160,
Standup Heavy Missile Blueprint,5,5,105.777.778,
Capital Particle Accelerator Unit Blueprint,6,11,105.714.286,
Badger Blueprint,6,7,105.712.532,
Zainou 'Deadeye' Small Hybrid Turret SH-604,3,4,105.667.650,
